Experiment,Asset_RID,Execution_RID,Samples,Accuracy,AUC_airplane,AUC_automobile,AUC_bird,AUC_cat,AUC_deer,AUC_dog,AUC_frog,AUC_horse,AUC_ship,AUC_truck,AUC_Micro,AUC_Macro
cifar10_quick,Y1M,XZP,500,25.2,0.820933,0.730667,0.605511,0.679511,0.701556,0.708533,0.7768,0.704178,0.785822,0.806667,0.722522,0.732018
default_model,Z3P,Z1R,500,36.0,0.847378,0.874267,0.723867,0.730711,0.735156,0.782933,0.8272,0.821911,0.831733,0.836933,0.795121,0.801209
cifar10_large,105R,103T,500,36.8,0.8156,0.887689,0.742222,0.734533,0.792711,0.801956,0.843956,0.8232,0.8576,0.8724,0.817158,0.817187
