Experiment,Asset_RID,Execution_RID,Samples,Accuracy,AUC_airplane,AUC_automobile,AUC_bird,AUC_cat,AUC_deer,AUC_dog,AUC_frog,AUC_horse,AUC_ship,AUC_truck,AUC_Micro,AUC_Macro
cifar10_quick,RP6,RM8,550,27.6364,0.828687,0.81315,0.582332,0.687163,0.658953,0.687603,0.786299,0.660018,0.793131,0.830854,0.726086,0.732819
cifar10_large,SVC,SSE,550,37.6364,0.829679,0.891056,0.658329,0.721322,0.775647,0.757355,0.848779,0.842938,0.845583,0.897337,0.811771,0.806803
